,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,1.0,1.0,1.0,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9761904761904762,0.9318181818181818,0.9534883720930233,44.0
C2LOP.P,0.75,0.9130434782608695,0.8235294117647057,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.8076923076923077,0.65625,0.7241379310344829,32.0
Swizzor.gen!I,0.4782608695652174,0.5789473684210527,0.5238095238095238,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9285714285714286,1.0,0.962962962962963,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9850107066381156,0.9850107066381156,0.9850107066381156,0.9850107066381156
macro avg,0.9565759717018298,0.9604112860892943,0.9575634774730382,1868.0
weighted avg,0.9862444669446492,0.9850107066381156,0.9852930649112742,1868.0
